"name1","name2","street1","street2","city","state","zip","zip4","county","phone","website","latitude","longitude","type_facility","mh","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","saca","trc","smon","smpd","smop","hi","res","php","op","rs","rl","rd","od","omb","odt","iop","ort","hid","hit","ct","gh","psyh","vamc","tbg","ihs","stg","lccg","dod","ssa","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","cash","md","mc","si","pi","tricare","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","fsa","cit","wi","ss","pa","asl","sp","mhsu","vet","admil","milf","cj","sen","adol","pw","wn","mn","hiv","trma","sexa","dv","sed","smi","alz","ptsd","tbi","ya","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","supem","sh","tpc","tcc","vrs","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","mi","ang","mxm","crv","relp","beds","ch_ad","yad","adlt","snr","fem","male","dui","duio","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eis_hiv","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssu","ssd","stdt","ta","taec","tbs","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","fqhc","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanz_fluox","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","fep","aot","msnh","ipsy","shp","vahc","mmd","antpych","mprep","aims","fed","sotp","dea","mhc","samhsa","mhpa","hbt","hct","labt","tod","vapn","vapp","vppd","oudo","nx","oth","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Beth Israel Deaconess Medical Center","Department of Psychiatry Ambulatory","330 Brookline Avenue","","Boston","MA","02215","","Suffolk","617-667-4735","https://www.bidmc.org","42.3396481","-71.1050255","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","1","","","","","1","1","1","1","1","1","","","","","1","1","","1","","1","1","1","1","1","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","1","1","1","1","","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CASPAR House I","Mens Recovery Home","16 Highland Avenue","","Somerville","MA","02143","","Middlesex","617-623-5277 x351","https://www.baycovehumanservices.org/caspar","42.384605","-71.09332","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","1","1","1","1","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","1","1","","1","1","1","","","","1","","","","","1","1","1","1","1","1","1","","","","","1","1","","1","","1","","1","1","","1","1","1","1","","1","1","1","1","","1","","","","1","1","1","1","1","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"CASPAR House I","","16 Highland Avenue","","Somerville","MA","02143","","Middlesex","617-623-5277","https://www.baycovehumanservices.org/caspar","42.384605","-71.09332","SU","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","1","1","","","","1","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","1","1","1","","","1","1","1","1","1","1","1","1","","","1","1","","1","1","","","1","","","1","","1","1","1","1","","","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","1","","","","","","","","","","1","1","1","1","1","1","","","1","","","1","","","","","","","1","1","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","1","","","1","","","","","1","","","","","","","","","","","1","","","","",""
"CASPAR House II","","3 Summit Avenue","","Somerville","MA","02143","","Middlesex","617-623-5277","https://www.baycovehumanservices.org/caspar","42.3838459","-71.0956259","SU","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","","1","1","1","1","1","1","1","1","","","","1","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","1","1","1","","","1","1","1","1","1","1","1","1","","","1","1","","","1","","","1","","","1","","1","1","1","1","","","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","","","","","","","","","","","1","1","","1","1","1","","","1","","","1","","","","","","","1","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","1","","","1","","","","","","","","","","","","","","","","1","","","","",""
"Riverside Community Care","Somerville Outpatient Center","117 Summer Street","2nd Floor","Somerville","MA","02143","2706","Middlesex","617-354-2275","https://www.riversidecc.org","42.3856897","-71.102806","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","1","1","","1","1","1","","1","","1","1","1","","1","","1","1","","","1","","","","","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","1","","","","","","","1","","","","","","","1","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimock Center","Outpatient Addiction and Recovery","45 Dimock Street","","Roxbury","MA","02119","","Suffolk","617-442-8800 x1289","https://www.dimock.org","42.3202815","-71.0972241","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","","1","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","1","","1","1","1","1","","","1","","","","","1","1","","","","1","","1","","1","","1","","1","","","1","","","","","1","1","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimock Center","Outpatient Addiction and Recovery","45 Dimock Street","","Roxbury","MA","02119","","Suffolk","617-442-8800 x1289","https://www.dimock.org","42.3202885","-71.0972811","SU","","1","","","","","","","1","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","1","","1","1","","","","1","1","","1","1","1","1","1","1","1","","","","","","1","","","","1","","","","","","","1","","1","","1","1","","","","","","","1","","","","","","","","1","1","","","","1","","1","1","","","1","","","1","1","","1","1","","","1","1","","","","1","1","1","1","","1","","","","","1","","","1","1","1","","1","1","1","1","","","1","1","1","","1","1","1","1","1","","1","1","1","1","","","","","1","1","","","","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimock Center","Dimock Acute Treatment Services","41 Dimock Street","","Roxbury","MA","02119","","Suffolk","617-442-8800 x1320","https://www.dimock.org","42.3197542","-71.0965278","SU","","1","1","1","1","1","1","1","1","1","","1","","","","","1","","1","","","","","","","","","","","","1","","","","","","1","1","","1","","1","1","","","1","","1","","","","","","1","1","","","","","","","","","","1","","1","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","1","1","","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","1","","","1","","","","","","","1","1","1","1","1","1","1","1","","","1","","1","1","","","","1","","","1","1","","1","1","","","1","","","","","","","1","1","1","","","","1","","1","1","","","","1","","","","","1","1","1","1","","1","1","1","1","1","1","","","1","","","1","1","","","","1","1","","1","","1","","","1","1","1","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","","1","","1","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Judge Baker Childrens Center","Center for Effective Therapy","53 Parker Hill Avenue","","Roxbury Crossing","MA","02120","","Suffolk","617-278-4288","https://bakercenter.org","42.331001","-71.1100327","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","","","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","1","","","1","","1","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambridge Eating Disorder Center","(CEDC)","3 Bow Street","","Cambridge","MA","02138","","Middlesex","617-547-2255","https://www.eatingdisordercenter.org","42.3719993","-71.1159555","MH","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","","1","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimock Center","Askia Academy at Dimock","9 Notre Dame Street","","Boston","MA","02119","","Suffolk","617-442-8800","https://www.Dimock.org","42.3189224","-71.0967851","SU","","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","1","","1","1","1","","","1","1","1","1","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","1","","1","1","","","","1","1","","1","1","1","1","1","1","1","","","","","","","","","","1","","","","","","","1","","1","","1","1","","1","","","","","1","","","","","","","","1","1","","","","1","","1","1","","","1","","","1","1","","","1","","","1","1","","","","1","1","1","1","","1","","","1","1","1","","","1","1","1","","1","1","1","1","","1","1","1","1","","1","1","","","1","","1","","1","1","1","1","","","1","","","","","1","","1","","1","1","","1","1","1","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dimock Center","Askia Academy at Dimock","9 Notre Dame Street","","Boston","MA","02119","","Suffolk","617-442-8800","https://www.Dimock.org","42.3189224","-71.0967851","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","","1","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","","","","","1","1","","","","1","","1","","1","","1","","1","","","1","","","","","1","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","","","","","","","1","1","","","1","","","","","","","1","","","","","","","","","","1","","","","","","1","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","",""
"Healthcare Resource Centers","","175 Crescent Avenue","","Chelsea","MA","02150","","Suffolk","617-889-8779","https://www.hcrcenters.com/health-care-resource-centers-chelsea/","42.396243","-71.0232651","SU","","1","1","1","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","1","1","","1","","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","1","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","1","1","","","","1","","","","","","1","","1","1","","","","","1","1","1","","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","1","","","1","1","","1","1","1","","","1","1","","","1","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","1","","","1","","1","1","","","","1","","","","","","","","","","","","","","","",""
"HRI Hospital","","227 Babcock Street","","Brookline","MA","02446","","Norfolk","617-731-3200","https://hrihospital.com","42.3507761","-71.1212243","MH","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","1","1","1","1","","","","","1","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","1","","","","1","","","1","1","","1","1","1","1","1","1","","","","1","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","1","1","1","","","","","","1","","","","1","","1","1","","1","1","1","1","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eliot Community Human Services","Eliot Centet/Everett","173 Chelsea Street","","Everett","MA","02149","","Middlesex","781-388-6200","https://www.eliotchs.org","42.40395","-71.0488018","SU","","1","","","","1","","1","1","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","1","1","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","1","","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","1","1","","1","1","","","","1","","","","","","","1","1","1","1","1","1","1","1","1","1","","","1","","","","","","1","1","1","","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","1","","1","","1","1","","","1","","1","1","1","1","","","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","1","","1","","","1","","","1","","1","1","","","","","","","","","","1","","","","","","1","",""
"Eliot Community Human Services","Eliot Center/Everett","173 Chelsea Street","","Everett","MA","02149","","Middlesex","781-388-6200","https://www.eliotchs.org","42.40395","-71.0488018","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","1","1","1","1","1","","1","","","","","1","","1","1","1","1","1","1","1","1","","","","","1","1","","1","1","1","","1","1","1","1","","1","1","","1","1","1","","1","1","","","","","1","1","1","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","1","","","","","","","1","1","","","","","","1","","1","","","","","","","","","1","","","","1","","","1","","1","1","","","","","","","","","","1","","","1","","","1","",""
"Adolescent Substance Use and Addiction","Boston Childrens Hospital","2 Brookline Place","","Brookline","MA","02445","","Norfolk","617-355-2727","https://www.childrenshospital.org/asap","42.3322788","-71.1161373","SU","","1","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","1","","","1","","","","","","","","","","","","1","","1","1","1","","1","","","","1","1","1","1","1","1","","","","","","","","","","1","","","1","","1","","1","","","","1","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","1","1","","1","1","","","","1","","","","","","","","1","1","1","","","1","1","1","1","","","1","","","1","1","","1","1","","","1","1","","","","1","1","1","1","","","","","1","1","","","","1","1","1","","1","1","","","1","1","","","1","","1","1","1","1","1","","1","","1","","","","","","1","1","1","1","1","1","","","1","1","","1","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Adolescent Substance Use and Addiction","Boston Childrens Hospital","2 Brookline Place","","Brookline","MA","02445","","Norfolk","617-355-2727","https://www.childrenshospital.org/asap","42.3322788","-71.1161373","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","1","","","1","1","","","","1","","","","1","1","","1","","1","1","","1","1","","1","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Day","","242 Highland Avenue","","Somerville","MA","02143","","Middlesex","617-628-8188","https://www.baycove.org","42.3907461","-71.1096972","SU","","1","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","1","1","1","","","1","1","1","1","1","1","1","1","","","1","1","","1","1","","","1","","","1","","1","1","1","1","","","","1","1","1","","","","1","1","1","1","1","1","1","","1","1","1","","","","","","","","","","1","1","1","1","1","1","","","1","","","1","","","","","","","1","1","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","1","","","1","","","","","","","","","","","","","","","","1","","","","",""
"New Day","","242 Highland Avenue","","Somerville","MA","02143","","Middlesex","617-628-8188","https://www.baycove.org","42.3907461","-71.1096972","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","1","1","1","1","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","1","1","","1","1","1","","","","1","","","","","1","1","1","1","1","1","1","","","","","1","1","","1","","1","","1","1","","1","1","1","1","","1","1","1","1","","1","","","","1","1","1","1","1","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Hanton House","Co Occurring Enhanced (COE)","69 Clinton Street","","Chelsea","MA","02150","","Suffolk","866-781-6727","https://northsuffolk.org/addiction-services","42.4017142","-71.0160974","MH","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","","1","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","1","","","","1","","1","","","","","","1","","1","1","","","","1","","","1","1","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","","","","","","","","","1","","","","","","","","","","","",""
"Hanton House","Co Occurring Enhanced (COE)","69 Clinton Street","","Chelsea","MA","02150","","Suffolk","866-781-6727","https://northsuffolk.org/addiction-services","42.4017142","-71.0160974","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","1","1","1","","","","","","","","","","","1","","","1","1","1","1","1","","","","1","","","","1","1","","1","1","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","1","","","","1","","","","","","","1","1","1","","","","1","1","1","1","","","1","","","1","1","","1","1","","","1","","","","","1","1","1","1","","","","","1","1","","","","1","","1","","1","1","1","","1","1","1","","","","","","","","","","1","","1","1","1","1","","","1","","1","1","1","","","","","","1","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","1","","","","","","","","","","","",""
"Arbour Hospital","Dual Diagnosis Treatment","49 Robinwood Avenue","","Jamaica Plain","MA","02130","","Suffolk","617-522-4400","https://arbourhospital.com","42.3157847","-71.112278","MH","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","1","1","1","1","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","","","","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","","1","","","","","","","","","1","","1","1","1","","","","","","","1","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","1","1","1","","","","","","1","","","","1","","1","1","","","1","1","1","","","","","1","","","","","","","","","","","1","","1","","","","","","","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arbour Hospital","Dual Diagnosis Treatment","49 Robinwood Avenue","","Jamaica Plain","MA","02130","","Suffolk","617-522-4400","https://arbourhospital.com","42.3157847","-71.112278","SU","","1","1","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","1","","","1","","","","","","","","","","","","1","1","","","1","","","","","","","1","1","1","1","1","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","1","","1","1","","","","1","","1","1","1","1","1","","","1","","","","","","1","1","","","1","","1","","","","1","1","","","1","","","","","1","1","1","1","1","","","","","","1","","","1","","1","","1","1","","1","","","1","","1","","1","1","1","1","","1","","","1","","","","","","","1","1","1","1","1","1","1","","1","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","1","1","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Community Clinic","Programs Inc","1304 Commonwealth Avenue","Suite B","Allston","MA","02134","","Suffolk","617-482-5292","https://www.communityclinicma.org","42.348368","-71.134129","MH","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","1","1","","1","","","","1","","","","","","","","","","1","1","","","","","1","","","","","","","","","","1","","","","","","","","","","","","1","","1","1","","","","","","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","","1","","","","",""
"Community Clinic","Programs Inc","1304 Commonwealth Avenue","Suite B","Allston","MA","02134","","Suffolk","617-482-5292","https://www.communityclinicma.org","42.348368","-71.134129","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","1","","","","","1","1","","1","1","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","1","1","1","1","1","","1","","1","1","","","1","","","","","","1","1","","","1","","","","","1","1","","1","","","1","","1","1","","","","1","","1","","1","1","1","","","1","1","","","","","","","","","","1","","1","","1","1","","","1","","1","1","1","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Arbour Counseling Services","Jamaica Plain","157 Green Street","","Jamaica Plain","MA","02130","","Suffolk","617-390-1498","https://arbourhospital.com","42.3101407","-71.1067176","SU","","1","","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","1","1","1","1","","","","","1","","","","","","","1","1","1","1","1","","","","","","1","1","1","","1","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","1","","1","","","","","1","","","","","","","1","1","1","","1","","1","","1","1","","","1","","","1","1","","1","1","","","1","","","1","","1","1","1","1","","","","","1","","","","","1","1","1","","1","1","","","1","1","","","1","","1","1","1","1","","1","","","1","","","","","","","1","1","1","1","1","","","","1","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
